category_l1,total_views,total_carts,total_purchases,total_revenue,avg_conversion
electronics,543327.0,31344.0,13585.0,5579546.8,0.49
appliances,186156.0,5847.0,2570.0,467188.8,0.61
computers,96171.0,2053.0,922.0,411066.64,0.48
furniture,46831.0,598.0,297.0,61698.87,0.31
auto,31103.0,679.0,335.0,44882.79,0.55
kids,18736.0,322.0,182.0,27694.88,0.42
apparel,64424.0,692.0,317.0,26314.7,0.26
construction,24517.0,689.0,228.0,24889.49,0.26
sport,6317.0,92.0,33.0,8079.34,0.25
accessories,9384.0,95.0,53.0,2022.7,0.22
